subset,family,parent,arm,anchor_proxy,anchor_mIoU,selected_round,selected_proxy,selected_mIoU,delta_mIoU,refined,gt_low,dual_band,n_proxy_admissible,n_gt_useful_of_admissible,n_rounds,regret,policy_start,policy_random_round,policy_round1,policy_max_proxy,policy_monotone,policy_oracle,recomputed_monotone,stored_matches_recompute
1-1,staggered,1,gpt56,0.6067,0.787,anchor,0.6067,0.787,0.0,False,False,False,0,0,3,0.007000000000000006,0.787,0.7919999999999999,0.794,0.787,0.787,0.794,anchor,True
1-4,staggered,1,gpt56,0.6463,0.556,round2,0.6883,0.809,0.253,True,True,True,3,3,3,0.0,0.556,0.719,0.557,0.809,0.809,0.809,round2,True
1-2,staggered,1,gpt56,0.6478,0.821,anchor,0.6478,0.821,0.0,False,False,False,0,0,3,0.0,0.821,0.8206666666666665,0.82,0.821,0.821,0.821,anchor,True
2-4,staggered,2,gpt56,0.6763,0.835,round3,0.6865,0.776,-0.05899999999999994,True,False,False,1,0,3,0.05999999999999994,0.835,0.7983333333333333,0.836,0.776,0.776,0.836,round3,True
2-2,staggered,2,gpt56,0.6991,0.673,round2,0.7124,0.672,-0.0010000000000000009,True,True,True,2,0,3,0.02499999999999991,0.673,0.6803333333333333,0.697,0.672,0.672,0.697,round2,True
3-4,continuous,3,gpt56,0.5197,0.622,round3,0.5353,0.627,0.0050000000000000044,True,True,True,1,1,3,0.0,0.622,0.41900000000000004,0.158,0.627,0.627,0.627,round3,True
3-3,continuous,3,gpt56,0.5216,0.808,round1,0.5255,0.806,-0.0020000000000000018,True,False,False,1,0,3,0.0020000000000000018,0.808,0.807,0.806,0.806,0.806,0.808,round1,True
3-7,continuous,3,gpt56,0.5397,0.845,anchor,0.5397,0.845,0.0,False,False,False,0,0,3,0.006000000000000005,0.845,0.8423333333333333,0.844,0.845,0.845,0.851,anchor,True
3-8,continuous,3,gpt56,0.5613,0.723,anchor,0.5613,0.723,0.0,False,False,False,0,0,3,0.01200000000000001,0.723,0.5993333333333334,0.391,0.723,0.723,0.735,anchor,True
3-10,continuous,3,gpt56,0.5887,0.853,anchor,0.5887,0.853,0.0,False,False,False,0,0,3,0.0030000000000000027,0.853,0.823,0.856,0.853,0.853,0.856,anchor,True
3-9,continuous,3,gpt56,0.6413,0.82,anchor,0.6413,0.82,0.0,False,False,False,0,0,3,0.0,0.82,0.7346666666666667,0.783,0.82,0.82,0.82,anchor,True
3-6,continuous,3,gpt56,0.6814,0.836,round3,0.7068,0.837,0.0010000000000000009,True,False,False,1,1,3,0.0,0.836,0.8236666666666667,0.831,0.837,0.837,0.837,round3,True
4-3,complex,4,gpt56,0.5202,0.516,round1,0.5265,0.515,-0.0010000000000000009,True,True,True,1,0,3,0.0010000000000000009,0.516,0.48266666666666663,0.515,0.515,0.515,0.516,round1,True
4-2,complex,4,gpt56,0.5435,0.734,round1,0.6528,0.643,-0.09099999999999997,True,False,False,2,1,3,0.09299999999999997,0.734,0.5433333333333333,0.643,0.643,0.643,0.736,round1,True
4-1,complex,4,gpt56,0.5518,0.635,round2,0.6595,0.652,0.017000000000000015,True,True,True,2,2,3,0.0,0.635,0.6456666666666667,0.65,0.652,0.652,0.652,round2,True
4-5,complex,4,gpt56,0.6094,0.75,round1,0.6471,0.777,0.027000000000000024,True,False,False,1,1,3,0.0,0.75,0.7566666666666667,0.777,0.777,0.777,0.777,round1,True
5-5,complex,5,gpt56,0.6098,0.775,round1,0.6411,0.771,-0.0040000000000000036,True,False,False,1,0,3,0.0040000000000000036,0.775,0.715,0.771,0.771,0.771,0.775,round1,True
5-3,complex,5,gpt56,0.6807,0.762,anchor,0.6807,0.762,0.0,False,False,False,0,0,3,0.0,0.762,0.7186666666666666,0.744,0.762,0.762,0.762,anchor,True
5-2,complex,5,gpt56,0.6829,0.793,round1,0.6904,0.792,-0.0010000000000000009,True,False,False,1,0,3,0.0010000000000000009,0.793,0.7723333333333334,0.792,0.792,0.792,0.793,round1,True
5-4,complex,5,gpt56,0.6923,0.76,round1,0.7103,0.759,-0.0010000000000000009,True,False,False,1,0,3,0.0010000000000000009,0.76,0.7256666666666667,0.759,0.759,0.759,0.76,round1,True
1-3,staggered,1,gemini38,0.5501,0.779,round2,0.6921,0.867,0.08799999999999997,True,False,False,3,2,3,0.0,0.779,0.7406666666666667,0.858,0.867,0.867,0.867,round2,True
1-5,staggered,1,gemini38,0.5551,0.549,round2,0.667,0.613,0.06399999999999995,True,True,True,2,2,3,0.07400000000000007,0.549,0.5586666666666668,0.376,0.613,0.613,0.687,round2,True
1-1,staggered,1,gemini38,0.6067,0.787,round3,0.6182,0.763,-0.02400000000000002,True,False,False,2,0,3,0.02400000000000002,0.787,0.6993333333333333,0.548,0.763,0.763,0.787,round3,True
1-4,staggered,1,gemini38,0.6463,0.556,anchor,0.6463,0.556,0.0,False,True,True,0,0,3,0.0,0.556,0.5036666666666667,0.515,0.556,0.556,0.556,anchor,True
1-2,staggered,1,gemini38,0.6478,0.821,round3,0.6995,0.842,0.02100000000000002,True,False,False,2,2,3,0.0,0.821,0.7839999999999999,0.671,0.842,0.842,0.842,round3,True
2-4,staggered,2,gemini38,0.6763,0.835,round2,0.7084,0.835,0.0,True,False,False,3,0,3,0.0,0.835,0.8220000000000001,0.814,0.835,0.835,0.835,round2,True
2-2,staggered,2,gemini38,0.6991,0.673,round2,0.7569,0.839,0.16599999999999993,True,True,True,3,1,3,0.0,0.673,0.6739999999999999,0.591,0.839,0.839,0.839,round2,True
3-4,continuous,3,gemini38,0.5197,0.622,round1,0.5534,0.692,0.06999999999999995,True,True,True,2,2,3,0.0,0.622,0.6426666666666666,0.692,0.642,0.692,0.692,round1,True
3-3,continuous,3,gemini38,0.5216,0.808,anchor,0.5216,0.808,0.0,False,False,False,0,0,3,0.0,0.808,0.7833333333333333,0.808,0.808,0.808,0.808,anchor,True
3-7,continuous,3,gemini38,0.5397,0.845,round1,0.5556,0.845,0.0,True,False,False,1,0,3,0.013000000000000012,0.845,0.8186666666666667,0.845,0.845,0.845,0.858,round1,True
3-8,continuous,3,gemini38,0.5613,0.723,round1,0.5615,0.728,0.0050000000000000044,True,False,False,1,1,3,0.0,0.723,0.7050000000000001,0.728,0.728,0.728,0.728,round1,True
3-10,continuous,3,gemini38,0.5887,0.853,round2,0.606,0.854,0.0010000000000000009,True,False,False,1,1,3,0.0,0.853,0.797,0.685,0.854,0.854,0.854,round2,True
3-9,continuous,3,gemini38,0.6413,0.82,round1,0.6514,0.817,-0.0030000000000000027,True,False,False,1,0,3,0.0030000000000000027,0.82,0.777,0.817,0.817,0.817,0.82,round1,True
3-6,continuous,3,gemini38,0.6814,0.836,round3,0.7143,0.841,0.0050000000000000044,True,False,False,2,1,3,0.0,0.836,0.8356666666666666,0.836,0.841,0.841,0.841,round3,True
4-3,complex,4,gemini38,0.5202,0.516,anchor,0.5202,0.516,0.0,False,True,True,0,0,3,0.0,0.516,0.4483333333333333,0.315,0.516,0.516,0.516,anchor,True
4-2,complex,4,gemini38,0.5435,0.734,round3,0.6618,0.744,0.010000000000000009,True,False,False,3,1,3,0.0,0.734,0.6773333333333333,0.57,0.744,0.744,0.744,round3,True
4-1,complex,4,gemini38,0.5518,0.635,round3,0.6083,0.658,0.02300000000000002,True,True,True,3,3,3,0.0020000000000000018,0.635,0.6589999999999999,0.659,0.658,0.658,0.66,round3,True
4-5,complex,4,gemini38,0.6094,0.75,round1,0.6223,0.78,0.030000000000000027,True,False,False,2,1,3,0.0,0.75,0.7606666666666667,0.78,0.78,0.78,0.78,round1,True
5-5,complex,5,gemini38,0.6098,0.775,round1,0.6732,0.793,0.018000000000000016,True,False,False,2,1,3,0.0,0.775,0.7756666666666666,0.793,0.793,0.793,0.793,round1,True
5-3,complex,5,gemini38,0.6807,0.762,round1,0.6843,0.762,0.0,True,False,False,1,0,3,0.0,0.762,0.754,0.762,0.762,0.762,0.762,round1,True
5-2,complex,5,gemini38,0.6829,0.793,round3,0.6872,0.782,-0.01100000000000001,True,False,False,2,0,3,0.01100000000000001,0.793,0.7843333333333334,0.792,0.782,0.782,0.793,round3,True
5-4,complex,5,gemini38,0.6923,0.76,anchor,0.6923,0.76,0.0,False,False,False,0,0,3,0.0,0.76,0.7233333333333333,0.76,0.76,0.76,0.76,anchor,True
1-3,staggered,1,random,0.5501,0.779,round1,0.5875,0.786,0.007000000000000006,True,False,False,1,1,3,0.0,0.779,0.2866666666666667,0.786,0.786,0.786,0.786,round1,True
1-5,staggered,1,random,0.5551,0.549,round3,0.639,0.867,0.31799999999999995,True,True,True,3,3,3,0.0,0.549,0.6779999999999999,0.615,0.867,0.867,0.867,round3,True
1-1,staggered,1,random,0.6067,0.787,round3,0.6362,0.791,0.0040000000000000036,True,False,False,1,1,3,0.01200000000000001,0.787,0.5433333333333333,0.036,0.791,0.791,0.803,round3,True
1-4,staggered,1,random,0.6463,0.556,round2,0.6994,0.811,0.255,True,True,True,2,2,3,0.006999999999999895,0.556,0.556,0.039,0.811,0.811,0.818,round2,True
1-2,staggered,1,random,0.6478,0.821,round1,0.6536,0.825,0.0040000000000000036,True,False,False,2,1,3,0.0,0.821,0.5546666666666666,0.825,0.825,0.825,0.825,round1,True
2-4,staggered,2,random,0.6763,0.835,round3,0.7009,0.784,-0.050999999999999934,True,False,False,2,0,3,0.050999999999999934,0.835,0.7949999999999999,0.831,0.784,0.784,0.835,round3,True
2-2,staggered,2,random,0.6991,0.673,round1,0.709,0.592,-0.08100000000000007,True,True,True,1,0,3,0.08100000000000007,0.673,0.22266666666666668,0.592,0.592,0.592,0.673,round1,True
3-4,continuous,3,random,0.5197,0.622,anchor,0.5197,0.622,0.0,False,True,True,0,0,3,0.02300000000000002,0.622,0.25433333333333336,0.046,0.622,0.622,0.645,anchor,True
3-3,continuous,3,random,0.5216,0.808,round2,0.5229,0.691,-0.1170000000000001,True,False,False,1,0,3,0.1170000000000001,0.808,0.727,0.737,0.691,0.691,0.808,round2,True
3-7,continuous,3,random,0.5397,0.845,round1,0.5418,0.814,-0.031000000000000028,True,False,False,1,0,3,0.031000000000000028,0.845,0.564,0.814,0.814,0.814,0.845,round1,True
3-8,continuous,3,random,0.5613,0.723,anchor,0.5613,0.723,0.0,False,False,False,0,0,3,0.0,0.723,0.48666666666666664,0.673,0.723,0.723,0.723,anchor,True
3-10,continuous,3,random,0.5887,0.853,anchor,0.5887,0.853,0.0,False,False,False,0,0,3,0.0,0.853,0.6493333333333333,0.748,0.853,0.853,0.853,anchor,True
3-9,continuous,3,random,0.6413,0.82,anchor,0.6413,0.82,0.0,False,False,False,0,0,3,0.0,0.82,0.29633333333333334,0.118,0.82,0.82,0.82,anchor,True
3-6,continuous,3,random,0.6814,0.836,round2,0.7118,0.805,-0.030999999999999917,True,False,False,1,0,3,0.030999999999999917,0.836,0.40066666666666667,0.114,0.805,0.805,0.836,round2,True
4-3,complex,4,random,0.5202,0.516,anchor,0.5202,0.516,0.0,False,True,True,0,0,3,0.0,0.516,0.3263333333333333,0.238,0.516,0.516,0.516,anchor,True
4-2,complex,4,random,0.5435,0.734,round1,0.6336,0.738,0.0040000000000000036,True,False,False,2,2,3,0.0,0.734,0.7303333333333333,0.738,0.738,0.738,0.738,round1,True
4-1,complex,4,random,0.5518,0.635,round2,0.5928,0.66,0.025000000000000022,True,True,True,3,3,3,0.0,0.635,0.6546666666666666,0.651,0.66,0.66,0.66,round2,True
4-5,complex,4,random,0.6094,0.75,anchor,0.6094,0.75,0.0,False,False,False,0,0,3,0.0020000000000000018,0.75,0.4306666666666667,0.107,0.75,0.75,0.752,anchor,True
5-5,complex,5,random,0.6098,0.775,round3,0.667,0.794,0.019000000000000017,True,False,False,1,1,3,0.0,0.775,0.5423333333333333,0.206,0.794,0.794,0.794,round3,True
5-3,complex,5,random,0.6807,0.762,round2,0.6808,0.762,0.0,True,False,False,1,0,3,0.0,0.762,0.5690000000000001,0.709,0.762,0.762,0.762,round2,True
5-2,complex,5,random,0.6829,0.793,round1,0.6855,0.793,0.0,True,False,False,2,0,3,0.0,0.793,0.7763333333333334,0.793,0.793,0.793,0.793,round1,True
5-4,complex,5,random,0.6923,0.76,round1,0.7149,0.752,-0.008000000000000007,True,False,False,1,0,3,0.008000000000000007,0.76,0.717,0.752,0.752,0.752,0.76,round1,True
